AGNO,RBD,DGV_RBD,NOM_RBD,COD_REG_RBD,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,ESTADO_ESTAB,DC_A,HH_A,DC_UTP,HH_UTP,DC_PDIR,HH_PDIR,DC_DIR,HH_DIR,DC_OES,HH_OES,DC_OF,HH_OF,DC_JUTP,HH_JUTP,DC_IG,HH_IG,DC_OR,HH_OR,DC_DIR_SOST,HH_DIR_SOST,DC_TP_SOST,HH_TP_SOST,DC_SUP_SOST,HH_SUP_SOST,DC_SUBDIR,HH_SUBDIR,DC_PROF_ENC,HH_PROF_ENC,DC_EDUC_TRAD,HH_EDUC_TRAD,DC_TOT,"HH_TOT,",mat_hom_1,mat_muj_1,mat_ens_1,mat_hom_2,mat_muj_2,mat_ens_2,mat_hom_3,mat_muj_3,mat_ens_3,mat_hom_4,mat_muj_4,mat_ens_4,mat_hom_5,mat_muj_5,mat_ens_5,mat_hom_6,mat_muj_6,mat_ens_6,mat_hom_7,mat_muj_7,mat_ens_7,mat_hom_8,mat_muj_8,mat_ens_8,mat_hom_tot,mat_muj_tot,mat_total
2018,26182,3,ESCUELA ESPECIAL TRIPANTU DE LA FLORIDA,13,131,13110,LA FLORIDA,136,CORDILLERA,3,2,0,1,4,176,0,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,198,0,0,0,0,0,0,0,0,0,62,41,103,0,0,0,0,0,0,0,0,0,0,0,0,62,41,103
2018,26183,1,ESCUELA DE PARV. BLANCA NIEVES DE LA FLORIDA,13,131,13110,LA FLORIDA,136,CORDILLERA,3,2,0,1,3,120,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,164,9,15,24,0,0,0,0,0,0,15,13,28,0,0,0,0,0,0,0,0,0,0,0,0,24,28,52
2018,26185,8,ESC. DE PARV. MI PARAGUITA,13,131,13119,MAIPU,134,SANTIAGO PONIENTE,3,2,0,1,1,26,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,56,41,29,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,29,70
2018,26186,6,ESCUELA DE PARV. ANGELUZ,13,131,13119,MAIPU,134,SANTIAGO PONIENTE,4,3,0,2,2,60,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,26187,4,ESCUELA DE PARV. LOS PEQUES,13,132,13201,PUENTE ALTO,136,CORDILLERA,3,2,0,1,2,64,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,108,14,26,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,26,40
2018,26188,2,ESC. DE PARV. MY LITTLE GARDEN DE PUENTE ALTO,13,132,13201,PUENTE ALTO,136,CORDILLERA,3,2,0,1,0,0,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,6,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10
2018,26189,0,ESCUELA DE PARV. BAM-BAM,13,131,13110,LA FLORIDA,136,CORDILLERA,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,26190,4,ESCUELA DE PARV. NIKITOS,13,131,13110,LA FLORIDA,136,CORDILLERA,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,26191,2,ESCUELA DE PARV. FUTURAMA,13,132,13201,PUENTE ALTO,136,CORDILLERA,3,2,0,1,1,44,0,0,0,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,84,29,14,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,14,43
2018,26192,0,ESC. DE PARV. Y ESP. MARTA HIDALGO NÂ° 2,13,132,13201,PUENTE ALTO,136,CORDILLERA,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,26193,9,ESCUELA DE PARV. PIMPOLLITOS,13,132,13201,PUENTE ALTO,136,CORDILLERA,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,26194,7,ESCUELA DE PARV. SANTA TERESITA DE LOS ANDES,13,132,13201,PUENTE ALTO,136,CORDILLERA,3,2,0,1,1,44,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,88,10,15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,25
2018,26195,5,ESCUEL DE PARV. LOS PIRINCHOS,13,131,13106,ESTACION CENTRAL,134,SANTIAGO PONIENTE,4,3,0,1,2,66,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,91,15,23,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,38
2018,26196,3,ESCUELA BASICA TIERRASOL MONTESSORI,13,136,13603,ISLA DE MAIPO,135,TALAGANTE,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,26197,1,ESCUELA DE PARV. LOS CARIÃ‘OSITOS,13,134,13404,PAINE,132,SANTIAGO SUR,3,2,0,1,1,44,1,44,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,132,35,35,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,70
2018,26199,8,ESC. DE PARV. NUEVO SIGLO DE EST. CENTRAL,13,131,13106,ESTACION CENTRAL,134,SANTIAGO PONIENTE,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,26200,5,ESCUELA DE PARV. PUDU,13,131,13119,MAIPU,134,SANTIAGO PONIENTE,3,2,0,1,3,68,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,0,0,0,0,5,156,5,5,10,0,0,0,0,0,0,14,8,22,0,0,0,0,0,0,0,0,0,0,0,0,19,13,32
2018,26201,3,COLEGIO DE AD. EDUCAP,13,131,13119,MAIPU,134,SANTIAGO PONIENTE,3,2,0,1,8,127,1,20,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,167,0,0,0,0,0,0,10,8,18,0,0,0,0,0,0,72,81,153,0,0,0,0,0,0,82,89,171
2018,26202,1,ESCUELA ESP. MI MUNDO EN PALABRAS DE BUIN,13,134,13402,BUIN,132,SANTIAGO SUR,3,2,0,1,10,440,0,0,0,0,1,44,0,0,0,0,1,44,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,572,20,23,43,63,69,132,0,0,0,78,71,149,0,0,0,0,0,0,0,0,0,0,0,0,161,163,324
2018,26204,8,ESC. DE PARV. GIRASOL DE LA FARFANA,13,131,13119,MAIPU,134,SANTIAGO PONIENTE,3,2,0,1,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,26205,6,ESCUELA DE PARV. PASITOS,13,131,13109,LA CISTERNA,132,SANTIAGO SUR,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,26206,4,ESCUELA DE PARVULOS NÂ°2169 MY HOUSE,13,133,13301,COLINA,137,SANTIAGO NORTE,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
