AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;ESTADO_ESTAB;DC_A;HH_A;DC_UTP;HH_UTP;DC_PDIR;HH_PDIR;DC_DIR;HH_DIR;DC_OES;HH_OES;DC_OF;HH_OF;DC_JUTP;HH_JUTP;DC_IG;HH_IG;DC_OR;HH_OR;DC_DIR_SOST;HH_DIR_SOST;DC_TP_SOST;HH_TP_SOST;DC_SUP_SOST;HH_SUP_SOST;DC_SUBDIR;HH_SUBDIR;DC_PROF_ENC;HH_PROF_ENC;DC_EDUC_TRAD;HH_EDUC_TRAD;DC_TOT;HH_TOT,
2018;10732;8;ESCUELA RURAL LAS PARCELAS;13;136;13603;ISLA DE MAIPO;135;TALAGANTE;1;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018;10733;6;ESCUELA BASICA;13;136;13603;ISLA DE MAIPO;135;TALAGANTE;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018;10734;4;CENTRO EDUC. PART. MARIA REINA INMACULADA;13;136;13603;ISLA DE MAIPO;135;TALAGANTE;3;2;0;1;54;1828;0;0;3;132;1;44;2;88;0;0;4;170;2;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;2350
2018;10735;2;LICEO POLIV. LUIS HUMBERTO ACOSTA GAY;13;136;13602;EL MONTE;135;TALAGANTE;2;1;0;1;40;1525;0;0;0;0;1;44;4;168;1;30;2;88;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;50;1943
2018;10736;0;ESCUELA REPUBLICA DEL ECUADOR;13;136;13602;EL MONTE;135;TALAGANTE;2;1;0;1;20;685;0;0;0;0;1;44;2;60;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;833
2018;10737;9;ESC. BASICA  JAVIERA CARRERA VERDUGO;13;136;13602;EL MONTE;135;TALAGANTE;2;1;0;1;31;1192;0;0;0;0;1;44;2;84;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;1364
2018;10738;7;ESCUELA REPUBLICA DE HONDURAS;13;136;13602;EL MONTE;135;TALAGANTE;2;1;0;1;37;1373;0;0;0;0;1;44;2;78;0;0;1;44;1;44;0;0;0;0;1;44;0;0;0;0;0;0;0;0;43;1627
2018;10740;9;ESCUELA CHINIGUE EL CRISTO;13;136;13602;EL MONTE;135;TALAGANTE;2;1;1;1;19;705;1;44;1;44;1;44;3;110;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;991
2018;10741;7;ESCUELA EL REMANSO;13;136;13602;EL MONTE;135;TALAGANTE;2;1;1;1;19;750;1;44;0;0;1;44;1;40;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;40;24;962
2018;10742;5;ESCUELA BAS. DIVINA PROVIDENCIA;13;136;13602;EL MONTE;135;TALAGANTE;3;2;0;1;26;906;0;0;0;0;1;44;4;123;0;0;1;40;2;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;1178
2018;10743;3;INSTITUTO SAN FRANCISCO;13;136;13602;EL MONTE;135;TALAGANTE;3;2;0;1;17;532;0;0;0;0;1;44;1;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;606
2018;10744;1;ESCUELA BAS. COLEGIO EMELINA URRUTIA;13;136;13602;EL MONTE;135;TALAGANTE;3;2;0;1;23;793;0;0;0;0;1;44;3;72;0;0;1;44;1;44;1;25;0;0;0;0;0;0;0;0;0;0;0;0;30;1022
2018;10746;8;LICEO MUNICIPALIZADO PENAFLOR;13;136;13605;PEÑAFLOR;135;TALAGANTE;2;1;0;1;18;592;0;0;0;0;1;44;1;30;0;0;1;44;0;0;0;0;0;0;1;44;0;0;0;0;0;0;0;0;22;754
2018;10747;6;ESCUELA TERESA DE CALCUTA;13;136;13605;PEÑAFLOR;135;TALAGANTE;2;1;0;1;18;666;0;0;0;0;1;44;2;84;0;0;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;882
2018;10748;4;ESCUELA EMILIA LASCAR;13;136;13605;PEÑAFLOR;135;TALAGANTE;2;1;0;1;50;1877;0;0;0;0;1;44;1;44;0;0;0;0;1;44;0;0;0;0;0;0;0;0;1;44;0;0;0;0;54;2053
2018;10749;2;LICEO PAUL HARRIS;13;136;13604;PADRE HURTADO;135;TALAGANTE;2;1;0;1;42;1608;2;88;0;0;1;44;7;243;0;0;1;44;2;88;1;44;0;0;0;0;0;0;0;0;0;0;0;0;56;2159
2018;10750;6;ESCUELA ROSALINA PESCIO VARGAS;13;136;13605;PEÑAFLOR;135;TALAGANTE;2;1;0;1;48;1834;0;0;1;44;1;44;4;171;0;0;2;88;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;2225
2018;10751;4;LICEO COMERCIAL REPUBLICA DE BRASIL;13;136;13605;PEÑAFLOR;135;TALAGANTE;2;1;0;1;18;738;0;0;0;0;1;44;3;124;0;0;1;44;1;44;1;13;0;0;0;0;0;0;0;0;0;0;0;0;25;1007
2018;10752;2;ESCUELA REPUBLICA ARGENTINA;13;136;13604;PADRE HURTADO;135;TALAGANTE;2;1;0;1;14;538;0;0;0;0;1;44;7;267;0;0;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;937
2018;10753;0;ESCUELA REPUBLICA CHECA;13;136;13605;PEÑAFLOR;135;TALAGANTE;2;1;0;1;17;567;0;0;0;0;1;44;0;0;0;0;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;655
2018;10754;9;ESCUELA MAND EDUARDO FREI MONTALVA;13;136;13605;PEÑAFLOR;135;TALAGANTE;2;1;0;1;25;940;0;0;0;0;1;44;1;40;0;0;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;1112
2018;10755;7;ESCUELA DIFERENCIAL ALEGRIA DE VIVIR;13;136;13605;PEÑAFLOR;135;TALAGANTE;2;1;0;1;16;632;0;0;0;0;1;44;0;0;0;0;1;44;0;0;0;0;0;0;0;0;0;0;1;44;0;0;0;0;19;764
2018;10756;5;ESCUELA SONIA PLAZA CASTRO;13;136;13605;PEÑAFLOR;135;TALAGANTE;2;1;0;1;19;664;0;0;0;0;1;44;1;15;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;767
2018;10757;3;COLEGIO ALBERTO HURTADO CRUCHAGA;13;136;13604;PADRE HURTADO;135;TALAGANTE;3;2;0;1;35;1118;1;44;3;128;1;44;5;210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;44;46;1588
2018;10758;1;ESCUELA MALLOCO;13;136;13605;PEÑAFLOR;135;TALAGANTE;2;1;0;1;29;1108;0;0;0;0;1;44;0;0;1;44;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;1284
