agno,rbd,dgv_rbd,nom_rbd,cod_depe,cod_depe2,rural_rbd,cod_reg_rbd,cod_pro_rbd,cod_com_rbd,nom_com_rbd,cod_deprov_rbd,nom_deprov_rbd,estado_estab,mat_si_1,mat_hom_1,mat_muj_1,mat_ens_1,mat_si_2,mat_hom_2,mat_muj_2,mat_ens_2,mat_hom_3,mat_muj_3,mat_ens_3,mat_hom_4,mat_muj_4,mat_ens_4,mat_hom_5,mat_muj_5,mat_ens_5,mat_hom_6,mat_muj_6,mat_ens_6,mat_hom_7,mat_muj_7,mat_ens_7,mat_hom_8,mat_muj_8,mat_ens_8,mat_hom_tot,mat_muj_tot,mat_si_tot,mat_total,cur_sim_01,cur_sim_02,cur_sim_03,cur_sim_04,cur_sim_05,cur_sim_06,cur_sim_07,cur_sim_08,cur_sim_tot,cur_comb_01,cur_comb_02,cur_comb_tot
2018,17689,3,COLEGIO LICANRAY,3,2,0,8,81,8103,CHIGUAYANTE,83,CONCEPCION,1,0,12,15,27,0,138,116,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,131,0,281,2,8,0,0,0,0,0,0,10,0,0,0
2018,17690,7,COLEGIO BEATO DAMIÁN DE MOLOKAI,3,2,0,8,83,8301,LOS ANGELES,82,BIOBIO,1,0,51,29,80,0,198,163,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,192,0,441,2,8,0,0,0,0,0,0,10,0,0,0
2018,17691,5,COLEGIO CREACION,4,3,0,8,84,8401,CHILLAN,81,ÑUBLE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,17692,3,COLEGIO GOLDEN SCHOOL,3,2,0,8,81,8103,CHIGUAYANTE,83,CONCEPCION,1,0,31,21,52,0,122,140,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,161,0,314,2,9,0,0,0,0,0,0,11,0,0,0
2018,17693,1,COLEGIO BASICO NUEVA LOS LOBOS,2,1,0,8,81,8110,TALCAHUANO,83,CONCEPCION,1,0,39,45,84,0,205,209,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,254,0,498,4,16,0,0,0,0,0,0,20,0,0,0
2018,17696,6,JARDIN INFANTIL LOS CANELITOS,3,2,0,8,82,8202,ARAUCO,84,ARAUCO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,17697,4,SOCIEDAD EDUCACIONAL LA ARAUCANA,4,3,0,8,81,8101,CONCEPCION,83,CONCEPCION,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,17698,2,ESCUELA RAMÓN VINAY SEPÚLVEDA,2,1,0,8,84,8401,CHILLAN,81,ÑUBLE,1,0,30,21,51,0,171,162,333,10,5,15,0,0,0,0,0,0,53,36,89,0,0,0,0,0,0,264,224,0,488,3,16,1,0,0,4,0,0,24,0,0,0
2018,17699,0,ESCUELA ESP.DIF.CENTRO EDUCATIVO INTEGRAL LOS NARANJOS,3,2,0,8,84,8401,CHILLAN,81,ÑUBLE,1,0,0,0,0,0,0,0,0,0,0,0,72,44,116,0,0,0,0,0,0,0,0,0,0,0,0,72,44,0,116,0,0,0,14,0,0,0,0,14,0,0,0
2018,17700,8,CENTRO EDUCACIONAL DE ADULTOS  PITAGORAS,4,3,0,8,83,8301,LOS ANGELES,82,BIOBIO,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,17701,6,CENTRO DE EDUCACIÓN DE ADULTOS NEWENTUN,3,2,0,8,81,8101,CONCEPCION,83,CONCEPCION,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,161,346,0,0,0,0,0,0,185,161,0,346,0,0,0,0,0,12,0,0,12,0,0,0
2018,17702,4,INSTITUTO SAN SEBASTIÁN MEDIO,3,2,0,8,83,8313,YUMBEL,82,BIOBIO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,186,314,0,0,0,0,0,0,0,0,0,128,186,0,314,0,0,0,0,8,0,0,0,8,0,0,0
2018,17703,2,COLEGIO ESPIRITU SANTO,3,2,0,8,81,8110,TALCAHUANO,83,CONCEPCION,1,0,59,72,131,0,307,313,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,385,0,751,6,16,0,0,0,0,0,0,22,0,0,0
2018,17704,0,ESCUELA AMANDA LABARCA,2,1,0,8,83,8304,LAJA,82,BIOBIO,1,0,0,0,0,0,0,0,0,0,0,0,32,14,46,0,0,0,0,0,0,0,0,0,0,0,0,32,14,0,46,0,0,0,6,0,0,0,0,6,0,0,0
2018,17705,9,COLEGIO SANTA CECILIA,4,3,0,8,84,8401,CHILLAN,81,ÑUBLE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,17706,7,GIMNASIO NUESTRA SRA DE LA MERCED,2,1,0,8,84,8416,SAN CARLOS,81,ÑUBLE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,17707,5,ANEXO LICEO C-3,2,1,0,8,84,8404,COELEMU,81,ÑUBLE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,17708,3,COLEGIO SAN CRISTOBAL,3,2,0,8,81,8110,TALCAHUANO,83,CONCEPCION,1,0,17,16,33,0,115,115,230,0,0,0,0,0,0,56,65,121,0,0,0,0,0,0,0,0,0,188,196,0,384,1,8,0,0,4,0,0,0,13,0,0,0
2018,17709,1,ESCUELA BALMACEDA SAAVEDRA L.,2,1,0,8,81,8103,CHIGUAYANTE,83,CONCEPCION,1,0,12,4,16,0,71,49,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,53,0,136,2,8,0,0,0,0,0,0,10,0,0,0
2018,17710,5,ESCUELA BASICA EL MIRADOR,2,1,1,8,81,8111,TOME,83,CONCEPCION,1,0,0,0,0,0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,0,0,0,0,0,0,0,0,0,0,1,1
2018,17711,3,ESCUELA BASICA EL ESPINO,2,1,1,8,81,8111,TOME,83,CONCEPCION,1,0,0,0,0,0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,5,0,1,0,0,0,0,0,0,1,0,1,1
